102308
2 9 31 126 Retail–DrugStores .. –4.3–1.4
3 3 3 90 Mdcal–Outpnt/HmCr 95 –15.3–4.7
4 4 11 185 Insurance–Brokers 88 –14.7–2.6
5 8 4 22 Elec–MilitarySystems 93 –2.0–2.4
6 2 14 178 ComptrSftwr–Mdcl 96 –25.3–2.5
7 1 2 152 Retail–Discnt&Vari .. +11.5–3.7
8 10 7 143 CommlSvcs–Schools 97 –13.1–3.9
9 5 1 83 Medical–Genetics .. –17.4–4.1
10 16 39 51 Soap&ClngPreparat .. –7.2–3.9
11 11 75 79 Banks–Southeast 88 –20.5–3.2
12 21 33 31 Food–MscPrparation 92 –16.2–2.6
13 14 13 66 Medical–Products 92 –24.8–4.5
14 15 6 61 Medical–Biomed/Bth 92 –24.8–3.3
15 7 34 111 Banks–Wst/Sthwst 88 –27.8–3.4
16 30 60 63 Mdcal–Drg/Dvrsified .. –6.2–3.7
17 28 24 73 Medical–EthicalDrgs 85 –28.3–4.6
18 25 69 52 Utility–GasDstribtn 85 –20.5–3.9
19 44 130 94 Retail–Spr/MiniMkts 89 –27.2–4.3
20 20 91 48 Banks–Midwest 85 –21.9–3.9
14 21 26 Telecom-WirelessSvcs 61 +30.9 +2.3
15 13 9 Machinery-GenIndustrial 41 +37.4 +1.4
16 22 10 Energy-Other 72 +30.2 +2.5
17 16 5 Transportation-Ship 47 +32.0 +2.5
18 23 18 Steel-Producers 20 +48.8 +3.3
19 15 23 Machinery-Farm 8 +57.3 +4.1
20 20 41 Elec-MilitarySystems 19 +40.7 +0.5
21 17 2 Oil&Gas-Machinery/Eq 29 +57.6 +3.6
22 25 37 Telecom-WirelessEquip 77 +9.9 +2.8
23 18 8 Oil&Gas-FieldServic 51 +25.5 +2.5
24 26 51 Telecom-ServicesFrgn 46 +30.1 +2.5
25 14 17 CommlSvcs-Schools 18 +56.3 +2.9
26 24 150 Medical-Genetics 30 +19.0 +0.8
27 28 30 MetalProc&Fabrica 42 +33.1 +1.9
28 27 19 Computer-Networking 39 +20.4 +1.2
29 29 14 Aerospace/DefenseEqp 50 +37.6 +2.3
30 31 42 Elec-SemiconductorMfg 141 +11.5 +0.9
31 34 114 Beverages-SoftDrinks 18 +21.5 +2.0
32 40 33 CommlSvcs-Consulting 23 +30.5 +1.2
33 47 145 Transportation-Airline 33 –2.6 +3.3
34 42 66 Banks-Foreign 26 +19.1 +2.7
35 33 45 Medical/Dental-Services 57 +26.3 +1.5
36 30 29 Oil&Gas-CdnIntegrat 4 +32.1 +1.1
37 76 64 Auto/Truck-ReplaceParts 7 +16.2 +1.7
38 37 49 Chemicals-Basic 19 +18.0 +1.1
39 46 71 Beverages-Alcoholic 25 +20.8 +1.2
40 39 48 Chemicals-Specialty 53 +17.7 +1.6
41 36 24 Electrical-Equipment 37 +25.3 +0.7
42 35 85 AgriculturalOperations 22 +22.0 +1.9
43 43 139 Leisure-Gaming/Equip 38 +16.1 +1.4
44 32 54 Oil&Gas-USExplPro 110 +19.5 +0.2
45 38 65 Medical-Products 129 +17.8 +0.7
46 44 110 Internet-Software 42 +11.2 +0.8
47 41 102 Medical-Biomed/Biotech 276 +6.4 +1.2
48 54 87 Finance-PublInvFd-Frgn 114 +8.4 +1.9
49 57 89 Computer-PeripheralEqp 12 +0.6 –0.6
50 50 83 CommlSvcs-MarketRsrch 18 +12.2 +0.9
51 53 58 CommlSvcs-Miscellaneous 56 +8.4 +1.1
52 55 75 Elec-Scientific/Msrng 42 +26.0 +2.1
53 67 68 Retail-ConsumerElec 9 +13.3 +2.0
54 74 124 FinancialServices-Misc 60 +14.0 +1.7
55 51 25 Machinery-Tools&Re 8 +35.2 +1.7
56 49 105 ComputerSftwr-Financial 20 +14.7 –0.8
57 62 128 AutoManufacturers 9 +17.6 +2.1
58 73 141 CommlSvcs-Healthcare 22 +5.5 +1.2
59 70 16 Apparel-Shoes&Rel 16 +15.7 –0.8
60 60 67 Elec-MiscProducts 43 +13.1 +0.5
61 52 28 PollutionControl-Svcs 27 +24.7 +3.1
62 82 161 Telecom-FiberOptics 21 –2.4 +1.4
63 45 20 Machinery-Constr/Mining 10 +24.1 +2.7
64 75 78 Retail/Whlsle-Cmptr/Cell 21 +12.4 +0.8
65 59 186 Textile-Mill/Hsehold 6 –7.1 +1.2
66 97 93 Medical-HlthMaintOrg 18 +17.8 +1.8
67 91 113 Medical-EthicalDrugs 88 0.0 +1.4
68 83 63 Food-MiscPreparation 48 +9.4 +0.8
69 56 163 Mining-Gems 6 +13.9 +1.2
70 68 94 Retail-Restaurants 71 +4.0 +0.5
71 58 57 Oil&Gas-CdnExplPro 70 +18.6 +1.2
72 64 92 Elec-ContractMfg 26 +1.0 +0.8
73 72 133 Insurance-Acc&Heal 8 +10.1 +1.0
74 79 79 Computer-TechServices 63 +2.8 +0.6
75 77 81 DiversifiedOperations 54 +17.0 +1.2
76 116 86 Internet-NetworkSltns 21 +3.2 +2.7
77 63 35 Machinery-MtlHdlg/Autmn 16 +18.7 +1.5
78 61 146 Oil&Gas-USRoyalty 17 +3.8 +0.3
79 90 165 Computer-DataStorage 23 –12.1 +1.5
80 92 70 Insurance-Brokers 15 +19.2 –0.7
81 89 100 Aerospace/Defense 10 +19.9 +0.6
82 80 91 Retail/Whlsle-Jewelry 12 +15.3 +4.9
83 66 82 Utility-WaterSupply 16 +10.1 +0.8
84 78 74 FuneralSvcs&Rel 8 +18.7 –0.5
85 99 46 Elec-SemiconductorEquip 59 +7.1 +1.4
86 71 22 Oil&Gas-Drilling 26 +22.3 +2.9
87 108 137 Finance-InvestmentMgmt 124 +5.9 +1.5
88 69 73 PollutionControl-Equip 12 +9.2 +0.8
89 84 39 Telecom-Equipment 58 +14.8 +1.4
90 87 116 Finance-IdxTrackingFd 589 +9.7 +0.9
91 81 122 ComputerSftwr-Design 14 +16.2 +0.8
92 65 36 Retail/Whlsle-Food 12 +27.5 +0.2
93 86 144 Medical-GenericDrugs 17 +4.9 +0.8
94 93 101 ComputerSftwr-Educ/Entr 25 –0.9 –0.1
95 88 76 Auto/Truck-OriginalEqp 33 +23.0 +2.0
96 101 158 Medical-WhlsleDrg/Suppl 10 +15.2 +1.2
97 48 11 Trucks&Parts-HvyD 13 +48.9 +0.6
98 121 119 Medical-Outpnt/HmCare 28 +5.7 +1.8
99 94 21 Food-MeatProducts 12 +13.8 +0.9
100 104 173 ComputerSftwr-Desktop 12 +5.1 +2.1
101 95 80 ConsumerProducts-Misc 21 +13.8 +0.9
102 128 61 Internet-Isp 14 +36.5 +2.2
103 96 53 MetalPrds-Fasteners 4 +21.0 +0.4
104 134 99 Leisure-Hotels&Mot 15 +6.4 +0.7
105 109 34 CommlSvcs-Security/Sfty 50 +14.0 +0.4
106 85 84 Medical/Dental-Supplies 17 +11.0 –0.1
107 102 40 Bldg-Maintenance&S 9 +13.2 0.0
108 103 115 Computer-IntegratedSyst 24 +11.2 +0.7
109 111 60 Elec-Component/Connectr 32 +13.3 –0.1
110 110 44 Media-Cable/SatelliteTv 28 +9.1 –0.1
111 115 171 Insurance-Life 28 –0.5 +0.4
112 113 153 Finance-InvestmentBkrs 53 –4.4 +1.0
113 118 123 Bldg-Mobile/Mfg&Rv 19 –1.3 +0.9
114 105 126 Containers 22 +8.7 –0.4
115 124 127 ComputerSftwr-Medical 30 +0.1 +0.9
116 120 112 Telecom-Services 49 +2.2 +0.3
117 112 97 Utility-ElectricPower 84 +6.5 +0.3
118 129 136 Cosmetics/PersonalCare 48 –1.1 +0.2
119 117 148 Food-Confectionery 6 +3.2 –0.2
120 127 138 Media-Diversified 24 +5.9 +0.8
121 125 160 Banks-MoneyCenter 20 +3.0 +1.1
122 130 56 Transportation-Rail 11 +25.6 +2.3
123 136 132 Retail-MajorDisc Chains 10 +0.5 –0.3
124 122 157 Insurance-Prop/Cas/Titl 118 –6.9 0.0
125 107 131 Retail-Miscellaneous 17 +5.3 +0.7
126 139 106 Leisure-Products 19 –4.7 +0.8
127 119 43 Oil&Gas-Transprt/Pip 49 +7.8 +0.7
128 132 52 Oil&Gas-USIntegrat 4 +25.6 +1.0
129 138 120 Insurance-Diversified 11 +8.7 +0.5
130 140 96 Retail-Super/MiniMkts 26 +6.6 +0.5
131 144 47 Bldg-A/C&HeatingP 12 –1.7 +0.6
132 150 111 Paper&PaperProduc 40 +0.9 +2.1
133 135 135 Tobacco 11 +4.9 +0.7
134 133 166 Retail-MailOrder&Di 13 +2.6 +0.5
135 123 62 Auto/Truck-Tires&M 5 +13.2 +3.1
136 146 109 Media-Radio/Tv 37 –8.5 +1.4
137 143 170 Steel-SpecialtyAlloys 9 +14.1 +1.2
138 98 176 Leisure-Movies&Rel 21 –2.0 0.0
139 114 27 Oil&Gas-Refining/Mkt 33 +20.7 +3.1
140 100 108 Leisure-Services 36 –1.3 –1.5
141 126 130 Household-Housewares 4 +23.6 +0.2
142 145 181 Banks-Northeast 127 –13.7 0.0
143 149 118 Transport-AirFreight 10 +5.1 +0.7
144 151 117 CommlSvcs-Advertising 28 +3.8 +1.5
145 141 143 Utility-GasDistribution 34 +3.7 +0.3
146 142 121 Bldg-ConstrPrds/Misc 41 –8.5 +0.7
147 137 107 Bldg-HandTools 9 +7.7 +0.1
148 106 151 Chemicals-Plastics 16 –5.5 +0.4
149 153 55 MetalPrds-Distributor 7 +6.4 +2.9
150 152 168 Medical-NursingHomes 17 +9.0 +0.5
151 131 77 Food-Flour&Grain 9 0.0 +1.1
152 158 156 OfficeSuppliesMfg 8 +0.5 +2.4
153 156 180 Banks-Midwest 76 –17.7 –0.3
154 165 90 RealEstateOperations 35 –5.6 +1.0
155 172 178 Hsehold/OfficeFurniture 29 –8.2 +1.6
156 155 192 Medical-Drug/Diversified 2 +1.4 +0.3
157 159 194 Finance-Reit 183 –13.8 +0.8
158 161 103 CommlSvcs-Leasing 23 –7.0 +0.6
159 160 183 Finance-Savings&Lo 154 –16.9 –0.4
160 166 167 Media-Books 10 –3.6 +0.8
161 154 169 Finance-PublInvFd-Eqt 146 –6.9 +0.6
162 162 175 Soap&ClngPreparat 4 +1.1 +0.1
163 164 149 Bldg-Paint&Allied 4 –0.3 –0.1
164 148 98 Transportation-Svcs 10 +10.3 –2.0
165 167 172 Office-Equip&Autom 5 –2.3 –0.3
166 175 189 Media-Newspapers 17 –17.6 +1.1
167 177 193 Banks-Southeast 149 –18.4 –0.1
168 170 125 Retail/Whlsle-BldgPrds 17 –1.2 –0.1
169 157 32 Transportation-EquipMfg 12 +2.1 +3.5
170 169 174 Retail-Clothing/Shoe 58 –20.1 –0.8
171 174 177 Media-Periodicals 7 –44.3 +0.9
172 173 185 Banks-West/Southwest 82 –18.6 –0.2
173 168 184 Finance-PublInvFd-Bond 398 –8.6 +0.1
174 176 164 Retail-DrugStores 7 +7.1 +1.0
175 163 95 Apparel-ClothingMfg 44 –8.9 –1.0
176 147 59 Elec-PartsDistributors 11 +10.2 –2.9
177 185 182 Bldg-WoodPrds 17 –10.8 –0.3
178 182 152 Retail/Whlsle-Autos/Prts 20 –6.3 –0.2
179 181 162 CommlSvcs-Printing 17 –5.4 +0.6
180 187 179 Leisure-Toys/Games/Hobby 11 –7.9 +2.7
181 184 129 Transportation-Truck 25 –6.7 +0.5
182 180 187 Banks-SuperRegional 15 –13.6 +0.7
183 188 154 CommlSvcs-Staffing 29 –15.2 –0.4
184 179 159 Retail-LeisureProducts 24 –14.0 –0.1
185 183 190 Finance-Mrtg&RelSvc 18 –29.5 –0.4
186 178 104 Household-ConsumerElec 17 –2.8 +0.4
187 192 191 RealEstateDevelopment 20 –19.9 –0.3
188 186 72 Bldg-Cement/Concrt/Ag 11 +10.5 +0.6
189 171 147 Household-Appliances 7 +1.1 –1.9
190 189 155 Medical-Hospitals 8 –7.1 +1.2
191 191 134 Retail-Discount&Vari 4 +1.0 –1.4
192 193 140 Retail/Whlsle-OfficeSup 7 –17.5 +0.6
193 190 188 Finance-Consumer/CmlLns 29 –23.6 –1.0
194 195 195 Retail-HomeFurnishings 20 –28.1 –0.6
195 194 142 Leisure-PhotoEquip/Rel 4 –16.4 –1.1
196 196 196 Retail-DepartmentStores 13 –28.2 –1.1
197 197 197 Bldg-Resident/Comml 24 –42.9 –0.7

102708
1 107 26 195 Trnsprttin–Airlne 84 –37.5–5.1
2 1 2 152 Retail–Discnt&Vari .. +11.6+0.5
3 3 3 90 Mdcal–Outpnt/HmCr 95 –21.2–4.1
4 9 31 126 Retail–DrugStores .. –5.5–1.3
5 10 7 143 CommlSvcs–Schools 97 –15.1+0.3
6 15 6 61 Medical–Biomed/Bth 92 –28.1–2.7
7 21 33 31 Food–MscPrparation 93 –18.8–3.9
8 17 23 101 ComlSvcs–Scrty 80 –36.4–3.4
9 11 75 79 Banks–Southeast 87 –23.2–1.4
10 44130 94 Retail–Spr/MiniMkts 86 –27.8–1.9
11 25 69 52 Utility–GasDstribtn 85 –20.0–2.4
12 30 60 63 Mdcal–Drg/Dvrsified .. –6.3–2.0
13 16 39 51 Soap&ClngPreparat .. –10.3–4.0
14 7 34 111 Banks–Wst/Sthwst 87 –31.2–1.6
15 5 1 83 Medical–Genetics .. –23.0–3.9
16 4 11 185 Insurance–Brokers 82 –18.4+0.2
17 8 4 22 Elec–MilitarySystems 92 –4.9–4.6
18 14 13 66 Medical–Products 92 –28.5–3.1
19 77154 39 Fnanc–IdxTrckngFd .. –29.2–0.8
20 13 92 30 Banks–Northeast 87 –17.9–1.4
21 2 14 178 ComptrSftwr–Mdcl 92 –32.1 –4.4
22 37 118 76 Financ–Svings&Lo 90 –31.7 –1.6
23 53 124 16 Tobacco 89 –18.3 –3.6
24 20 91 48 Banks–Midwest 83 –25.0 –1.9
25 28 24 73 Medical–EthicalDrgs 86 –31.2 –3.7
26 18 70 60 Cosmetics/PersnlCre 87 –27.0 –3.9
27 38 88 59 Fnce–InvsmntMgt 63 –42.8 –1.4
28 27 68 54 Insrnce–Prp/Cas/Titl 81 –32.3 +0.1
29 32 64 12 DvrsifiedOprtions 83 –26.9 –3.1
30 6 21 131 Retail/Whlsle–Food 86 –24.8 –2.1
31 24 58 33 Medical–GenercDrgs 86 –17.0 –4.2
32 40 131 114 Utility–WaterSupply 84 –23.6 –2.5
33 41 30 14 PollutionCntrl–Svcs 92 –16.1 –3.5
34 12 71 160 Banks–SuprRgional 84 –34.2 –0.5
35 36 36 45 CommlSvcs–Misc 90 –38.7 –3.5
36 33 20 28 Medical–Systems/Eqp 87 –41.6 –4.1
37 60 106 74 Utility–ElctricPwr 83 –33.7 –3.1
38 29 45 82 Food–Confectionery .. –6.3 –4.1
